trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20060627,930955,红利低波100,1507.13,1509.14,1497.31,1506.61,,-0.02,876.95,46.73
20060628,930955,红利低波100,1508.4,1514.34,1498.88,1514.32,,0.51,866.81,45.1
20060629,930955,红利低波100,1516.62,1543.36,1516.62,1543.36,,1.92,1455.83,72.51
20060630,930955,红利低波100,1556.01,1556.34,1533.33,1541.01,,-0.15,1325.15,68.5
20060703,930955,红利低波100,1547.28,1562.15,1540.41,1562.15,,1.37,1298.43,61.82
20060704,930955,红利低波100,1564.97,1564.97,1537.04,1545.63,,-1.06,1308.44,66.99
20060705,930955,红利低波100,1546.08,1546.08,1515.97,1529.59,,-1.04,983.75,52.64
20060706,930955,红利低波100,1527.28,1559.57,1527.28,1559.57,,1.96,932.37,50.1
20060707,930955,红利低波100,1564.35,1564.35,1550.44,1551.78,,-0.5,875.89,48.94
20060710,930955,红利低波100,1554.99,1555.53,1537.42,1555.35,,0.23,746.28,40.39
20060711,930955,红利低波100,1556.24,1556.37,1545.78,1556.37,,0.07,746.11,39.37
20060712,930955,红利低波100,1557.0,1557.16,1545.43,1545.9,,-0.67,872.02,45.65
20060713,930955,红利低波100,1544.36,1544.36,1462.09,1462.09,,-5.42,1419.71,70.65
20060714,930955,红利低波100,1454.5,1481.51,1454.5,1473.28,,0.77,830.75,42.33
20060717,930955,红利低波100,1471.89,1490.61,1470.26,1490.61,,1.18,691.44,35.63
20060718,930955,红利低波100,1490.59,1491.9,1476.81,1491.9,,0.09,610.67,30.81
20060719,930955,红利低波100,1491.63,1492.12,1465.54,1473.01,,-1.27,740.29,38.06
20060720,930955,红利低波100,1471.54,1482.88,1463.99,1482.88,,0.67,543.74,28.0
20060721,930955,红利低波100,1483.98,1489.93,1479.7,1486.38,,0.24,613.69,30.65
20060724,930955,红利低波100,1467.53,1492.02,1467.44,1492.02,,0.38,597.93,30.51
20060725,930955,红利低波100,1497.18,1510.43,1497.15,1510.43,,1.23,664.79,34.56
20060726,930955,红利低波100,1509.34,1512.72,1498.64,1507.87,,-0.17,561.75,28.49
20060727,930955,红利低波100,1507.64,1515.94,1484.49,1492.78,,-1.0,719.16,35.37
20060728,930955,红利低波100,1492.25,1497.45,1471.49,1487.57,,-0.35,671.34,34.77
20060731,930955,红利低波100,1484.65,1484.65,1434.48,1434.82,,-3.55,693.68,32.83
20060801,930955,红利低波100,1432.41,1441.78,1416.95,1420.8,,-0.98,489.12,23.4
20060802,930955,红利低波100,1420.72,1426.65,1398.49,1415.43,,-0.38,504.02,23.51
20060803,930955,红利低波100,1415.61,1420.19,1405.03,1414.01,,-0.1,406.51,18.67
20060804,930955,红利低波100,1414.49,1419.11,1374.55,1375.0,,-2.76,477.63,23.74
20060807,930955,红利低波100,1369.84,1369.84,1344.83,1345.83,,-2.12,439.78,18.92
20060808,930955,红利低波100,1343.23,1377.61,1343.23,1377.61,,2.36,401.49,18.92
20060809,930955,红利低波100,1379.06,1381.55,1369.09,1374.66,,-0.21,329.4,15.27
20060810,930955,红利低波100,1375.01,1397.73,1374.1,1397.73,,1.68,613.7,26.31
20060811,930955,红利低波100,1399.57,1409.2,1396.92,1407.49,,0.7,435.88,19.73
